process,reps,ljung_box_rejection_rate_5pct,kpss_level_rejection_rate_5pct,kpss_trend_rejection_rate_5pct,acf1_theory,acf1_mean,acf1_bias,acf1_rmse,ar1_phi_theory,ar1_phi_mean,ar1_phi_bias,ar1_phi_rmse
white_noise,200,0.065,0.025,0.065,0.0,0.0052051644144408835,0.0052051644144408835,0.05703428128604164,0.0,0.005213044214873197,0.005213044214873197,0.05717072928533656
ar1_phi_0.5,200,1.0,0.05,0.06,0.5,0.48886272358526467,-0.011137276414735331,0.05015698383861869,0.5,0.49054469375641074,-0.009455306243589257,0.04975231978284327
ar1_phi_0.9,200,1.0,0.17,0.29,0.9,0.8827045362298223,-0.017295463770177766,0.03399552982044187,0.9,0.8861866057889094,-0.013813394211090624,0.03218627711112823
random_walk,200,1.0,0.81,0.815,nan,0.9750696523096378,nan,nan,nan,0.9819062790331542,nan,nan
trend_stationary,200,1.0,1.0,0.045,nan,0.4221829177824388,nan,nan,nan,0.42500684297324526,nan,nan
mean_shift,200,1.0,1.0,0.79,nan,0.49419833572386873,nan,nan,nan,0.4959297842245583,nan,nan
