process,n,acf1,ljung_box_q,ljung_box_p,durbin_watson,ar1_intercept,ar1_phi_hat,ar1_forecast,kpss_level_stat,kpss_level_p,kpss_trend_stat,kpss_trend_p
white_noise,300,-0.11837296927904463,23.61517318694656,0.25924734365172775,2.2325448049315737,0.04550948469723467,-0.11849970446315143,0.11306153757864237,0.05036414668717961,0.1,0.03036086257128552,0.1
ar1_phi_0.5,300,0.49421452050607395,134.75733862820442,6.898413886429921e-18,1.0082278832790148,0.0022384189860885505,0.495671745054234,-0.4845763996951307,0.044905431613682455,0.1,0.04571633270740149,0.1
ar1_phi_0.9,300,0.8707258041483844,749.5458829417616,4.203568710234592e-111,0.2499236745924054,0.036721140634294165,0.8709177921247587,-0.23547261037230016,0.4451655058181653,0.05768728197492877,0.06294295630397938,0.1
random_walk,300,0.9796086497046074,4421.405013514858,0.0,0.008611240796875363,0.202811010863404,0.9800467412004888,7.1091993053074685,1.1974974376929697,0.005,0.22603275444249807,0.005
trend_stationary,300,0.375027697993383,936.0808650827241,3.742705513936154e-136,0.5286881456079469,0.987085632808903,0.37605393536084486,2.0394821161139167,1.8954283581401405,0.005,0.03447921784527659,0.1
mean_shift,300,0.48543004219300906,1254.4265568793626,1.2478153970881313e-176,0.7218368821546839,0.4639682944538292,0.4860574998704373,1.3311676516786524,1.428359443268619,0.005,0.17325965031451548,0.02728362473790376
