process,n,reps,lags,model_df,degrees_of_freedom,alpha,rejections,rejection_rate,monte_carlo_standard_error,wilson_95_low,wilson_95_high,p_value_method
white_noise,100,200,20,0,20,0.05,14,0.07,0.01804161855266872,0.042152171828342806,0.11405480885610647,reference.chi_square_sf
white_noise,300,200,20,0,20,0.05,11,0.055,0.016120638945153507,0.03098534170345884,0.0957869987723084,reference.chi_square_sf
white_noise,1000,200,20,0,20,0.05,14,0.07,0.01804161855266872,0.042152171828342806,0.11405480885610647,reference.chi_square_sf
ar1_phi_0.5,100,200,20,0,20,0.05,178,0.89,0.022124646889837583,0.839073090026985,0.926227555398747,reference.chi_square_sf
ar1_phi_0.5,300,200,20,0,20,0.05,200,1.0,0.0,0.9811546736227335,1.0,reference.chi_square_sf
ar1_phi_0.5,1000,200,20,0,20,0.05,200,1.0,0.0,0.9811546736227335,1.0,reference.chi_square_sf
ar1_phi_0.9,100,200,20,0,20,0.05,200,1.0,0.0,0.9811546736227335,1.0,reference.chi_square_sf
ar1_phi_0.9,300,200,20,0,20,0.05,200,1.0,0.0,0.9811546736227335,1.0,reference.chi_square_sf
ar1_phi_0.9,1000,200,20,0,20,0.05,200,1.0,0.0,0.9811546736227335,1.0,reference.chi_square_sf
