process,rep,lag,theoretical_acf,acf
white_noise,6,3,0.0,0.03393642548365089
white_noise,6,4,0.0,0.07018504431315334
white_noise,6,5,0.0,-0.10868257776983957
white_noise,6,6,0.0,0.005799947219610314
white_noise,6,7,0.0,0.07397239897478462
white_noise,6,8,0.0,0.0059257062166158565
white_noise,6,9,0.0,-0.003685066475800666
white_noise,6,10,0.0,-0.04431066944299634
white_noise,6,11,0.0,-0.05667389346032203
white_noise,6,12,0.0,0.02813363076134819
white_noise,6,13,0.0,-0.12913949665580315
white_noise,6,14,0.0,-0.04613318930563237
white_noise,6,15,0.0,0.08605399115414983
white_noise,6,16,0.0,0.04615121692235233
white_noise,6,17,0.0,-0.05868829087127814
white_noise,6,18,0.0,-0.05633821760902365
white_noise,6,19,0.0,-0.04104516809933641
white_noise,6,20,0.0,-0.049533010848929734
white_noise,7,1,0.0,0.042586061874928596
white_noise,7,2,0.0,-0.10409040301819819
white_noise,7,3,0.0,0.07760432791901634
white_noise,7,4,0.0,0.06068264068390335
white_noise,7,5,0.0,0.06319804566228984
white_noise,7,6,0.0,-0.0228728720667573
white_noise,7,7,0.0,-0.021068433338284776
white_noise,7,8,0.0,-0.06180156716074261
white_noise,7,9,0.0,0.05485762733434736
white_noise,7,10,0.0,0.10545848227284699
white_noise,7,11,0.0,-0.04736649640497523
white_noise,7,12,0.0,0.02944726487642056
white_noise,7,13,0.0,0.0422971961907695
white_noise,7,14,0.0,0.07314486585761255
white_noise,7,15,0.0,0.001319786843926509
white_noise,7,16,0.0,-0.041955245798940916
white_noise,7,17,0.0,-0.04243050486607977
white_noise,7,18,0.0,-0.05749755780788554
white_noise,7,19,0.0,-0.058679353176254404
white_noise,7,20,0.0,-0.05232760182538498
white_noise,8,1,0.0,-0.006408346950307311
white_noise,8,2,0.0,-0.04668494699340353
white_noise,8,3,0.0,-0.013213228687618317
white_noise,8,4,0.0,-0.05797889649480554
white_noise,8,5,0.0,-0.013087337189283945
white_noise,8,6,0.0,0.058895207374985825
white_noise,8,7,0.0,-0.020376501607369334
white_noise,8,8,0.0,0.0020010185717020883
white_noise,8,9,0.0,-0.004555901667397405
white_noise,8,10,0.0,0.06010800036635861
white_noise,8,11,0.0,0.0025987471867632084
white_noise,8,12,0.0,0.08328314998391469
white_noise,8,13,0.0,-0.08424919323137504
white_noise,8,14,0.0,-0.06195554123888244
white_noise,8,15,0.0,-0.09054288288214368
white_noise,8,16,0.0,-0.08891830051536531
white_noise,8,17,0.0,-0.03761432387970169
white_noise,8,18,0.0,0.13486156447395473
white_noise,8,19,0.0,0.09098319847394501
white_noise,8,20,0.0,-0.10518524153947312
white_noise,9,1,0.0,0.06764138439287502
white_noise,9,2,0.0,-0.035865828644689936
white_noise,9,3,0.0,0.046616426905143935
white_noise,9,4,0.0,-0.009345835045670112
white_noise,9,5,0.0,0.001648337618209007
white_noise,9,6,0.0,0.10440082114772685
white_noise,9,7,0.0,0.050805718034199365
white_noise,9,8,0.0,0.10254943406491732
white_noise,9,9,0.0,-0.007371114348550985
white_noise,9,10,0.0,-0.037545694375275475
white_noise,9,11,0.0,-0.022642788010883798
