name	command_exit_code	started_utc	finished_utc	duration_seconds	log	command
target-help	0	2026-09-16T14:53:12Z	2026-09-16T14:53:13Z	1	target-help.txt	cmake --build /home/user/clickhouse-coursework/tmp/coursework/build-release --target help
local-smoke	0	2026-09-16T14:53:13Z	2026-09-16T14:53:13Z	0	local-smoke.log	clickhouse local --multiquery coursework smoke
focused-gtest	0	2026-09-16T14:53:14Z	2026-09-16T14:53:15Z	1	gtest-focused.log	/home/user/clickhouse-coursework/tmp/coursework/build-release/src/unit_tests_time_series_diagnostics --gtest_color=no --gtest_filter=TimeSeriesDiagnosticsState.*:TimeSeriesStatisticalExtensionsState.*:TimeSeriesStatisticalExtensionsAggregate.*
sql-05161_time_series_diagnostics	0	2026-09-16T14:53:15Z	2026-09-16T14:53:16Z	1	sql/05161_time_series_diagnostics.log	CLICKHOUSE_HOST=127.0.0.1 CLICKHOUSE_PORT_TCP=19004 CLICKHOUSE_PORT_HTTP=19005 tests/clickhouse-test --configserver /tmp/clickhouse-coursework-acceptance.3bgNNPL5/config/config.xml --configclient /tmp/clickhouse-coursework-acceptance.3bgNNPL5/config/client.xml -q tests/queries -b /home/user/clickhouse-coursework/tmp/coursework/build-release/programs/clickhouse --no-long --no-random-settings --shard -j 1 05161_time_series_diagnostics
sql-05162_time_series_statistical_extensions	0	2026-09-16T14:53:16Z	2026-09-16T14:53:17Z	1	sql/05162_time_series_statistical_extensions.log	CLICKHOUSE_HOST=127.0.0.1 CLICKHOUSE_PORT_TCP=19004 CLICKHOUSE_PORT_HTTP=19005 tests/clickhouse-test --configserver /tmp/clickhouse-coursework-acceptance.3bgNNPL5/config/config.xml --configclient /tmp/clickhouse-coursework-acceptance.3bgNNPL5/config/client.xml -q tests/queries -b /home/user/clickhouse-coursework/tmp/coursework/build-release/programs/clickhouse --no-long --no-random-settings --shard -j 1 05162_time_series_statistical_extensions
sql-05163_time_series_statistical_extensions_distributed	0	2026-09-16T14:53:17Z	2026-09-16T14:53:18Z	1	sql/05163_time_series_statistical_extensions_distributed.log	CLICKHOUSE_HOST=127.0.0.1 CLICKHOUSE_PORT_TCP=19004 CLICKHOUSE_PORT_HTTP=19005 tests/clickhouse-test --configserver /tmp/clickhouse-coursework-acceptance.3bgNNPL5/config/config.xml --configclient /tmp/clickhouse-coursework-acceptance.3bgNNPL5/config/client.xml -q tests/queries -b /home/user/clickhouse-coursework/tmp/coursework/build-release/programs/clickhouse --no-long --no-random-settings --shard -j 1 05163_time_series_statistical_extensions_distributed
sql-05164_time_series_statistical_extensions_aggregating_merge_tree	0	2026-09-16T14:53:18Z	2026-09-16T14:53:19Z	1	sql/05164_time_series_statistical_extensions_aggregating_merge_tree.log	CLICKHOUSE_HOST=127.0.0.1 CLICKHOUSE_PORT_TCP=19004 CLICKHOUSE_PORT_HTTP=19005 tests/clickhouse-test --configserver /tmp/clickhouse-coursework-acceptance.3bgNNPL5/config/config.xml --configclient /tmp/clickhouse-coursework-acceptance.3bgNNPL5/config/client.xml -q tests/queries -b /home/user/clickhouse-coursework/tmp/coursework/build-release/programs/clickhouse --no-long --no-random-settings --shard -j 1 05164_time_series_statistical_extensions_aggregating_merge_tree
